national_park,date_established,visitors,description,state,latitude,longitude,acres,year_established,us_location
Carlsbad Caverns *,1930-05-14,349244,"Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[28] (WHS)[29]",New Mexico,32.166666666666664,-104.43333333333334,46766.45,1930,West
Channel Islands,1980-03-05,319252,"Five of the eight Channel Islands are protected, with half of the park's area underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, 145 endemic to them, including the island fox. Ferry services offer transportation to the islands from the mainland.[30] (BR)[31]",California,34.016666666666666,-119.41666666666667,249561.0,1980,West
Congaree,2003-11-10,215181,"On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[32] (BR)[33]",South Carolina,33.78333333333333,-80.78333333333333,26692.6,2003,East
Crater Lake,2002-05-22,647751,"Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. The lake is the deepest in the United States and is noted for its vivid blue color and water clarity. Wizard Island and the Phantom Ship are more recent volcanic formations within the caldera. As the lake has no inlets or outlets, it is replenished only by precipitation.[34]",Oregon,42.93333333333333,-122.1,183224.05,2002,West
Cuyahoga Valley,2000-10-11,2575275,"This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures,[35] and also offers a scenic train ride.[36]",Ohio,41.233333333333334,-81.55,32571.88,2000,East
Death Valley,1994-10-31,1146551,"Death Valley is the hottest, lowest, and driest place in the United States, with daytime temperatures that have exceeded 130 °F (54 °C). The park protects Badwater Basin and its vast salt flats at the lowest elevation in North America, −282 ft (−86 m),[37] This geologic graben also protects numerous canyons, badlands, sand dunes, mountain ranges, historic mines, springs, and more than 1,000 species of plants that grow.[38] (BR)[39]","California, Nevada",36.233333333333334,-116.81666666666666,3408395.63,1994,West
Denali,2017-02-26,229521,"Centered on Denali, the tallest and most prominent mountain in North America, the park is serviced by a single road leading to Wonder Lake, most of which can only be accessed via scheduled tour buses. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, moose, caribou, and wolves.[40] (BR)[41]",Alaska,63.333333333333336,-150.5,4740911.16,2017,West
Dry Tortugas,1992-10-26,83817,"The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. The park is home to undisturbed coral reefs and shipwrecks, and is only accessible by plane or boat.[42] (BR)[43]",Florida,24.633333333333333,-82.86666666666666,64701.22,1992,East
Everglades,1934-05-30,942130,"The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[44] (WHS)[45] (BR)[43]",Florida,25.316666666666666,-80.93333333333334,1508938.57,1934,East
Gates of the Arctic,1980-12-02,7362,"The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11,000 years.[46]",Alaska,67.78333333333333,-153.3,7523897.45,1980,West
Gateway Arch,2018-02-22,1145081,"The Gateway Arch is a 630-foot (192 m) (both high and wide) catenary arch built in the 1960s to commemorate the Lewis and Clark Expedition, initiated by Thomas Jefferson, and the subsequent westward expansion of the country. The nearby Old Courthouse, across a greenway to the west of the arch, was the original site of the landmark Dred Scott case about slavery. An underground museum describes the arch's construction and the country's westward expansion.[48]",Missouri,38.63333333333333,-90.18333333333334,91.0,2018,West
Glacier,2010-05-11,3081656,"The U.S. half of Waterton-Glacier International Peace Park, this park includes 26 rapidly receding glaciers and 130 named lakes surrounded by Rocky Mountain peaks. Historic hotels and the landmark Going-to-the-Sun Road accommodate visitors.[49] The local mountains, formed by an overthrust, expose Paleozoic fossils including trilobites, mollusks, giant ferns and dinosaurs. The park is also home to Triple Divide Peak, which forms the boundary between the watersheds of the Atlantic, Pacific, and Arctic Oceans.[50] (WHS)[51] (BR)[52]",Montana,48.8,-114.0,1013126.39,2010,West
Glacier Bay,1980-12-02,89768,"Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105 km).[53] (WHS)[54] (BR)[55]",Alaska,58.5,-137.0,3223383.43,1980,West
Grand Canyon *,2019-02-26,4532677,"The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of erosion have resulted in a massive three-tiered canyon, exposing the multicolored layers of the Colorado Plateau in mesas and canyon walls, visible from trails that descend into the canyon from the north and south rims.[56] (WHS)[57]",Arizona,36.06666666666667,-112.13333333333334,1201647.03,2019,West
Grand Teton,2029-02-26,3885230,"Grand Teton is the tallest mountain in the scenic Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley below.[58] (BR)[6]",Wyoming,43.733333333333334,-110.8,310044.36,2029,West
Great Basin,1986-10-27,144875,"Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park protects 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. Due to its remote location, the park is home to some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.[59]",Nevada,38.983333333333334,-114.3,77180.0,1986,West
Great Sand Dunes,2004-09-24,602613,"The tallest sand dunes in North America, up to 750 feet (230 m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also features alpine lakes, six 13,000-foot mountains, and old-growth forests.[60]",Colorado,37.733333333333334,-105.51666666666667,107345.73,2004,West
Great Smoky Mountains,1934-06-15,14161548,"The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5,000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.[61] (WHS)[62] (BR)[63]","North Carolina, Tennessee",35.68333333333333,-83.53333333333333,522426.88,1934,East
Guadalupe Mountains,1966-10-15,243291,"This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era.[64]",Texas,31.916666666666668,-104.86666666666666,86367.1,1966,West
Haleakalā,1961-07-01,853181,"The Haleakalā volcano on Maui features a very large crater with numerous cinder cones, a grove of non-native trees, the Kipahulu section's scenic pools of freshwater fish, and the endemic Hawaiian goose. The park protects the greatest number of endangered species within a U.S. national park.[65] (BR)[66]",Hawaii,20.716666666666665,-156.16666666666666,33264.62,1961,West
Hawaiʻi Volcanoes,2016-08-01,1262747,"This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).[67] (WHS)[68] (BR)[66]",Hawaii,19.383333333333333,-155.2,325605.28,2016,West
Hot Springs,2021-03-04,2162884,"Hot Springs was originally established by Congress as a federal reserve on April 20, 1832, making it the oldest area managed by the National Park Service. Natural thermal springs flow out of the Ouachita Mountains, providing opportunities for relaxation in a historic setting. Bathhouse Row preserves examples of 19th-century architecture.[69] Hot Springs is the first national park within a city and was the smallest national park until 2018.[70]",Arkansas,34.516666666666666,-93.05,5554.15,2021,West
Indiana Dunes,2019-02-15,3177210,"Previously designated a national lakeshore, parts of this 20-mile (32 km) stretch of the southern shore of Lake Michigan have sandy beaches and tall dunes. The park includes grassy prairies, peat bogs, and marsh wetlands home to over 2,000 species.[71]",Indiana,41.65,-87.05,15349.08,2019,East
Isle Royale,1940-04-03,25844,"The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the island, though the relationship between its wolf and moose populations is especially unique.[72] (BR)[73]",Michigan,48.1,-88.55,571790.3,1940,East
Joshua Tree,1994-10-31,3064400,"Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.[74] (BR)[39]",California,33.78333333333333,-115.9,795155.85,1994,West
Katmai,1980-12-02,24764,"This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, and the stratovolcano Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.[75]",Alaska,58.5,-155.0,3674529.33,1980,West
Kenai Fjords,1980-12-02,411782,"Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is the rapidly shrinking Exit Glacier. Boat and kayak tours offer views of tidewater glaciers, whales, sea lions, and marine birds.[76]",Alaska,59.916666666666664,-149.65,669650.05,1980,West
Kings Canyon,1940-03-04,562918,"Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.[77] Although Kings Canyon National Park was designated as such in 1940, it subsumed General Grant National Park, which had been established on October 1, 1890, as the United States' fourth national park.[78][79][80] (BR)[81]",California,36.8,-118.55,461901.2,1940,West
Kobuk Valley,1980-12-02,11540,"Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.[82]",Alaska,67.55,-159.28333333333333,1750716.16,1980,West
Lake Clark,1980-12-02,18278,"The region around Lake Clark features four active volcanoes, including Mount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges complete the landscape.[83]",Alaska,60.96666666666667,-153.41666666666666,2619816.49,1980,West
Lassen Volcanic,2016-08-09,359635,"Lassen Peak, the largest lava dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder cone, and composite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active. Numerous hydrothermal features, including fumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak.[84]",California,40.483333333333334,-121.51666666666667,106589.02,2016,West
Mammoth Cave,1941-07-01,515774,"With more than 400 miles (640 km) of passageways explored, Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park provides recreation on the Green River, 70 miles of hiking trails, and plenty of sinkholes and springs.[85] (WHS)[86] (BR)[87]",Kentucky,37.18333333333333,-86.1,54016.29,1941,East
Mesa Verde *,2006-06-29,548477,"This area constitutes over 4,000 archaeological sites of the Ancestral Puebloan people, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with its many passages and tunnels.[88] (WHS)[89]",Colorado,37.18333333333333,-108.48333333333333,52485.17,2006,West
Mount Rainier,1899-03-02,1670063,"Mount Rainier, an active stratovolcano, is the most prominent peak in the Cascades and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the longest and largest in the contiguous United States respectively. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests and meadows seasonally in bloom with wildflowers. Paradise on the south slope is among the snowiest places on Earth.[90] The Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.[91]",Washington,46.85,-121.75,236381.64,1899,West
New River Gorge,2020-12-27,1682720,"The New River Gorge is the deepest river gorge east of the Mississippi River. The park primarily covers the lower gorge area around the New River Gorge Bridge, which features some of the country's best whitewater rafting. Smaller noncontiguous sections showcase the ghost town of Thurmond, the scenic Grandview vista, and Sandstone Falls. The other 65,165 acres (263.71 km2) of the redesignated national river is now a national preserve, spanning 53 mi (85 km) of the New River.[93][94]",West Virginia,38.06666666666667,-81.08333333333333,7021.0,2020,East
North Cascades,1968-10-02,17855,"The highly glaciated mountains of the North Cascades Range exhibit a spectacular and complex geologic history. Between the river valleys and high peaks there are eight diverse life zones with 75 mammal and 1,600 vascular plant species. Popular hiking and climbing areas of the Stephen Mather Wilderness include Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak. Ross Lake and Lake Chelan National Recreation Areas adjoin the two segments of the park and are all administered together.[95]",Washington,48.7,-121.2,504780.94,1968,West
Olympic,1938-06-29,2718925,"This park on the Olympic Peninsula includes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the glaciated alpine peaks of the Olympic Mountains, the tallest of which is Mount Olympus. The Hoh and Quinault Rainforests are the wettest areas in the contiguous United States, with the Hoh receiving an average of almost 12 ft (3.7 m) of rain every year.[96][97] (WHS)[98] (BR)[99]",Washington,47.96666666666667,-123.5,922649.41,1938,West
Petrified Forest,1962-12-09,590334,This portion of the Chinle Formation has a large concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of red-hued volcanic rock called bentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.[100],Arizona,35.06666666666667,-109.78333333333333,221390.21,1962,West
Pinnacles,2013-01-10,348857,"Named for the eroded leftovers of a portion of an extinct volcano, the park's massive black and gold monoliths of andesite and rhyolite are a popular destination for rock climbers. Hikers have access to trails crossing the Coast Range wilderness. The park is one of the few locations where the endangered California condor can be seen in the wild. Pinnacles also supports a dense population of prairie falcons and more than 13 species of bat that populate its talus caves.[101]",California,36.483333333333334,-121.16666666666667,26685.73,2013,West
Redwood *,1968-10-02,435879,"This park and the co-managed state parks protect almost half of all remaining coastal redwoods, the tallest trees on earth. There are three large river systems in this very seismically active area, and 37 miles (60 km) of protected coastline reveal tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems contain a wide variety of animal and plant species.[102] (WHS)[103]",California,41.3,-124.0,138999.37,1968,West
Rocky Mountain,2015-01-26,4434848,"Bisected north to south by the Continental Divide, this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including elk, moose, mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacial valleys. Longs Peak, a classic Colorado fourteener, and the scenic Bear Lake are popular destinations, as well as the historic Trail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700 m).[104] (BR)[105]",Colorado,40.4,-105.58333333333333,265807.24,2015,West
Saguaro,1994-10-14,1079786,"Split into the separate Rincon Mountain and Tucson Mountain districts, this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti, there are barrel cacti, chollas, and prickly pears, as well as lesser long-nosed bats, spotted owls, and javelinas.[106]",Arizona,32.25,-110.5,92867.42,1994,West
Sequoia,1890-09-25,1059548,"This park protects the Giant Forest, which boasts some of the world's largest trees, the General Sherman being the largest measured tree in the park. Other features include over 240 caves, a long segment of the Sierra Nevada including the tallest mountain in the contiguous United States, and Moro Rock, a large granite dome.[107] (BR)[81]",California,36.43333333333333,-118.68333333333334,404062.63,1890,West
Shenandoah,1935-12-26,1592312,"Shenandoah's Blue Ridge Mountains are covered by hardwood forests that teem with a wide variety of wildlife. The Skyline Drive and Appalachian Trail run the entire length of this narrow park, along with more than 500 miles (800 km) of hiking trails passing scenic overlooks and cataracts of the Shenandoah River.[108]",Virginia,38.53333333333333,-78.35,200192.09,1935,East
Theodore Roosevelt,1978-11-10,796085,"This region that enticed and influenced President Theodore Roosevelt consists of a park of three units in the northern badlands. Besides Roosevelt's historic cabin, there are numerous scenic drives and backcountry hiking opportunities. Wildlife includes American bison, pronghorn, bighorn sheep, and wild horses.[109]",North Dakota,46.96666666666667,-103.45,70446.89,1978,West
Virgin Islands,1956-08-02,323999,"This island park on Saint John preserves pristine beaches surrounded by mangrove forests, seagrass beds, and coral reefs. It also has Taíno archaeological sites and the ruins of sugar plantations from Columbus's time.[110]",U.S. Virgin Islands,18.333333333333332,-64.73333333333333,15052.33,1956,East
Voyageurs,1975-04-08,243042,"This park protecting four lakes near the Canada–US border is a site for canoeing, kayaking, and fishing. The park also preserves a history populated by Ojibwe Native Americans, French fur traders called voyageurs, and gold miners. Formed by glaciers, the region features tall bluffs, rock gardens, islands, bays, and several historic buildings.[111]",Minnesota,48.5,-92.88333333333334,218222.35,1975,West
White Sands,2019-12-20,782469,"Located in the mountain-ringed Tularosa Basin, White Sands consists of the southern part of a 275-square-mile (710 km2) field of white sand dunes composed of gypsum crystals—the world's largest gypsum dunefield. The park is completely within the White Sands Missile Range and is subject to closure when tests are conducted.[113]",New Mexico,32.78333333333333,-106.16666666666667,146344.31,2019,West
Wind Cave,2003-01-09,709001,"Wind Cave is distinctive for its calcite fin formations called boxwork, a unique formation rarely found elsewhere, and needle-like growths called frostwork. It is one of the longest caves in the world and creates a wind as air pressure changes. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs and ponderosa pine forests home to cougars and elk.[114] The cave is culturally significant to the Lakota people as a creation site.[115]",South Dakota,43.56666666666667,-103.48333333333333,33970.84,2003,West
Wrangell–St. Elias *,1980-12-02,50189,"The largest national park in the system protects the convergence of the Alaska, Chugach, Wrangell, and Saint Elias Ranges, which include many of the continent's tallest mountains and volcanoes, including the 18,008-foot Mount Saint Elias. More than a quarter of the park is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier.[116] (WHS)[54]",Alaska,61.0,-142.0,8323146.48,1980,West
Yellowstone,1872-03-01,4860242,"Situated on the Yellowstone Caldera, the park has an expansive network of geothermal areas including boiling mud pots, vividly colored hot springs such as Grand Prismatic Spring, and regularly erupting geysers, the best-known being Old Faithful. The yellow-hued Grand Canyon of the Yellowstone River contains several high waterfalls, and four mountain ranges traverse the park. More than 60 mammal species including timber wolves, grizzly bears, black bears, lynxes, bison, and elk make this park one of the best wildlife viewing spots in the country.[117] (WHS)[118] (BR)[119]","Wyoming, Montana, Idaho",44.6,-110.5,2219790.71,1872,West
Yosemite *,1890-10-01,3287595,"Yosemite features sheer granite cliffs, exceptionally tall waterfalls, and old-growth forests at a unique intersection of geology and hydrology. Half Dome and El Capitan rise from the park's centerpiece, the glacier-carved Yosemite Valley, and from its vertical walls drop Yosemite Falls, one of North America's tallest waterfalls at 2,425 feet (739 m) high. Three giant sequoia groves, along with a pristine wilderness in the heart of the Sierra Nevada, are home to a wide variety of rare plant and animal species.[120] (WHS)[121]",California,37.833333333333336,-119.5,761747.5,1890,West
Zion,2019-11-19,5039835,"Located at the junction of the Colorado Plateau, Great Basin, and Mojave Desert, this park contains sandstone features such as mesas, rock towers, and canyons, including the Virgin River Narrows. The various sandstone formations and the forks of the Virgin River create a wilderness divided into four ecosystems: desert, riparian, woodland, and coniferous forest.[122]",Utah,37.3,-113.05,147242.66,2019,West
